time,ACU_Return_RH,ACU_Return_Temp,ACU_Supply_RH,ACU_Supply_Temp,FCU_air_mass_flowrate,I,ITE_load,KWH,PF,R1_Back_Bottom_RH,R1_Back_Bottom_Temp,R1_Back_Middle_RH,R1_Back_Middle_Temp,R1_Back_Top_RH,R1_Back_Top_Temp,R1_Front_Bottom_RH,R1_Front_Bottom_Temp,R1_Front_Middle_RH,R1_Front_Middle_Temp,R1_Front_Top_RH,R1_Front_Top_Temp,R2_Back_Bottom_RH,R2_Back_Bottom_Temp,R2_Back_Middle_RH,R2_Back_Middle_Temp,R2_Back_Top_RH,R2_Back_Top_Temp,R2_Front_Bottom_RH,R2_Front_Bottom_Temp,R2_Front_Middle_RH,R2_Front_Middle_Temp,R2_Front_Top_RH,R2_Front_Top_Temp,U,W,actual_chiller_load,ambient_wet_temp,bms_local,chiller_cop,chiller_power,chw_flow_rate,chw_flow_rate_calculated,chw_valve_cmd,chw_valve_position,chwp_power,chwr_temperature,chws_temperature,condenser_leave_temp,cw_supply_temp,cwp_power,fcu_airflow_rate,fcu_high_speed,fcu_low_speed,fcu_med_speed,fcu_ss_cmd,fcu_status,fcu_trip,id,off_coil_temperature,room_humidity_1,room_humidity_2,room_temperature_1,room_temperature_2,room_temperature_setpoint,tower_fan_power,water_leakage_status
2024-10-17 20:50:09,51.0,22.7,58.0,21.0,1.37,5.52,1570.0,25125.29,0.9994,51.0,23.0,49.0,23.6,50.0,23.1,53.0,21.8,56.0,21.4,56.0,21.4,52.0,22.4,52.0,22.2,46.0,24.7,55.0,21.4,56.0,21.6,55.0,21.5,229.635,1266,2888.63,27.0,1,4.08,707.83,568,0.2,23.0,22.2,13.26,21.8,9.3,30.69,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.1,52.2,22.5,23.0,23.0,53.04,0
2024-10-17 20:51:10,51.0,22.7,58.0,21.0,1.37,5.519,1550.0,25125.31,0.9994,51.0,23.0,49.0,23.6,50.0,23.1,53.0,21.8,56.0,21.4,56.0,21.4,52.0,22.4,52.0,22.2,46.0,24.7,55.0,21.4,56.0,21.6,55.0,21.5,229.6,1266,3088.58,27.0,1,4.49,687.74,601,0.2,23.0,22.2,13.56,21.9,8.8,30.74,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,51.9,52.0,22.6,23.1,23.0,56.89,0
2024-10-17 20:52:05,51.0,22.7,58.0,21.0,1.37,5.517,1530.0,25125.33,0.9994,51.0,23.0,49.0,23.6,50.0,23.1,53.0,21.8,55.0,21.3,55.0,21.3,52.0,22.4,52.0,22.2,46.0,24.7,55.0,21.4,56.0,21.6,56.0,21.4,229.758,1266,2997.37,27.0,1,4.32,693.2,645,0.2,23.0,22.2,13.56,21.7,9.0,30.71,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,51.8,52.2,22.4,23.1,23.0,55.12,0
2024-10-17 20:53:07,51.0,22.6,58.0,20.9,1.37,5.516,1550.0,25125.35,0.9994,51.0,23.0,49.0,23.5,50.0,23.1,53.0,21.8,55.0,21.3,55.0,21.3,52.0,22.4,52.0,22.2,45.0,24.7,55.0,21.4,56.0,21.5,56.0,21.4,229.795,1266,3159.25,27.0,1,4.49,703.56,591,0.21,23.0,22.2,13.92,21.9,8.9,30.75,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.0,51.7,22.4,23.0,23.0,58.29,0
2024-10-17 20:54:07,51.0,22.6,59.0,20.9,1.37,5.513,1540.0,25125.37,0.9994,50.0,22.9,49.0,23.5,51.0,23.0,53.0,21.8,55.0,21.3,55.0,21.3,52.0,22.4,52.0,22.1,45.0,24.7,56.0,21.3,56.0,21.5,56.0,21.4,229.522,1264,3050.14,27.0,1,4.32,706.43,674,0.2,23.0,22.2,13.51,22.1,9.1,30.73,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.5,52.4,22.4,23.2,23.0,56.14,0
2024-10-17 20:55:09,51.0,22.6,59.0,20.9,1.37,5.517,1550.0,25125.4,0.9994,50.0,22.9,49.0,23.5,51.0,23.0,53.0,21.8,56.0,21.2,56.0,21.2,52.0,22.4,52.0,22.1,45.0,24.7,56.0,21.3,57.0,21.4,56.0,21.3,229.734,1266,3094.56,27.0,1,4.57,676.63,665,0.2,23.0,22.2,13.19,22.1,8.6,30.74,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.2,52.4,22.4,23.1,23.0,57.01,0
2024-10-17 20:56:10,52.0,22.6,59.0,20.9,1.37,5.513,1550.0,25125.42,0.9993,51.0,22.9,49.0,23.5,51.0,23.0,54.0,21.7,56.0,21.2,56.0,21.2,52.0,22.4,52.0,22.1,46.0,24.7,56.0,21.3,57.0,21.4,56.0,21.3,229.894,1266,3033.68,27.0,1,4.49,675.4,736,0.19,23.0,22.2,12.91,22.2,8.7,30.72,30.0,240.0,6848,0,1,0,1,1,0,1,1.1,52.4,52.5,22.4,23.0,23.0,55.82,0
2024-10-17 20:57:11,52.0,22.6,59.0,20.8,1.37,5.522,1550.0,25125.44,0.9994,51.0,22.9,49.0,23.5,51.0,23.0,54.0,21.7,56.0,21.2,56.0,21.2,52.0,22.4,53.0,22.1,46.0,24.7,56.0,21.2,57.0,21.4,56.0,21.3,229.928,1268,2997.04,27.0,1,4.22,709.48,652,0.2,23.0,22.2,13.38,22.1,9.2,30.71,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.4,52.2,22.5,23.1,23.0,55.11,0
2024-10-17 20:58:05,52.0,22.6,59.0,20.8,1.37,5.529,1550.0,25125.46,0.9994,51.0,22.9,49.0,23.5,51.0,23.0,54.0,21.7,56.0,21.2,56.0,21.2,52.0,22.4,53.0,22.1,46.0,24.7,56.0,21.2,57.0,21.4,56.0,21.3,229.87,1270,3168.65,27.0,1,4.38,724.01,424,0.21,23.0,22.2,14.24,22.0,9.2,30.75,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.6,52.1,22.5,23.1,23.0,58.47,0
2024-10-17 20:59:08,52.0,22.5,59.0,20.8,1.37,5.518,1530.0,25125.48,0.9994,51.0,22.9,49.0,23.5,51.0,23.0,54.0,21.7,56.0,21.1,56.0,21.1,52.0,22.4,53.0,22.1,46.0,24.7,56.0,21.2,57.0,21.4,56.0,21.3,229.931,1267,3249.84,27.0,1,4.68,694.92,458,0.21,23.0,22.2,13.96,22.0,8.6,30.77,30.0,240.0,7239,0,1,0,1,1,0,1,1.1,52.8,52.2,22.3,23.1,23.0,60.1,0
