time,ACU_Return_RH,ACU_Return_Temp,ACU_Supply_RH,ACU_Supply_Temp,FCU_air_mass_flowrate,I,ITE_load,KWH,PF,R1_Back_Bottom_RH,R1_Back_Bottom_Temp,R1_Back_Middle_RH,R1_Back_Middle_Temp,R1_Back_Top_RH,R1_Back_Top_Temp,R1_Front_Bottom_RH,R1_Front_Bottom_Temp,R1_Front_Middle_RH,R1_Front_Middle_Temp,R1_Front_Top_RH,R1_Front_Top_Temp,R2_Back_Bottom_RH,R2_Back_Bottom_Temp,R2_Back_Middle_RH,R2_Back_Middle_Temp,R2_Back_Top_RH,R2_Back_Top_Temp,R2_Front_Bottom_RH,R2_Front_Bottom_Temp,R2_Front_Middle_RH,R2_Front_Middle_Temp,R2_Front_Top_RH,R2_Front_Top_Temp,U,W,actual_chiller_load,ambient_wet_temp,bms_local,chiller_cop,chiller_power,chw_flow_rate,chw_flow_rate_calculated,chw_valve_cmd,chw_valve_position,chwp_power,chwr_temperature,chws_temperature,condenser_leave_temp,cw_supply_temp,cwp_power,fcu_airflow_rate,fcu_high_speed,fcu_low_speed,fcu_med_speed,fcu_ss_cmd,fcu_status,fcu_trip,id,off_coil_temperature,room_humidity_1,room_humidity_2,room_temperature_1,room_temperature_2,room_temperature_setpoint,tower_fan_power,water_leakage_status
2024-10-17 19:56:41,51.0,22.7,58.0,21.0,1.37,5.507,1540.0,25124.09,0.9995,50.0,23.1,49.0,23.7,50.0,23.2,53.0,22.0,55.0,21.4,55.0,21.4,52.0,22.5,52.0,22.4,45.0,24.9,55.0,21.5,56.0,21.7,55.0,21.5,229.012,1263,2949.26,27.0,1,4.27,690.38,465,0.19,23.0,22.2,12.79,22.2,9.0,30.7,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.0,51.8,22.6,23.4,23.0,54.19,0
2024-10-17 19:57:34,51.0,22.7,58.0,21.0,1.37,5.505,1550.0,25124.11,0.9994,50.0,23.1,49.0,23.7,50.0,23.2,53.0,22.0,55.0,21.4,55.0,21.4,52.0,22.5,52.0,22.4,45.0,24.9,55.0,21.5,56.0,21.7,55.0,21.5,228.803,1258,2990.23,27.0,1,4.38,683.16,502,0.19,23.0,22.2,12.89,22.2,8.8,30.71,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.9,51.9,22.5,23.2,23.0,54.98,0
2024-10-17 19:58:35,51.0,22.7,58.0,21.0,1.37,5.507,1540.0,25124.13,0.9994,50.0,23.1,49.0,23.7,50.0,23.3,53.0,22.0,55.0,21.4,55.0,21.4,52.0,22.5,52.0,22.4,45.0,24.9,55.0,21.5,56.0,21.6,55.0,21.5,228.949,1259,2977.38,27.0,1,4.22,704.96,340,0.19,23.0,22.2,12.93,22.4,9.1,30.71,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.8,51.9,22.5,23.2,23.0,54.73,0
2024-10-17 19:59:37,51.0,22.7,58.0,21.0,1.37,5.504,1540.0,25124.15,0.9994,50.0,23.0,49.0,23.7,50.0,23.3,53.0,22.0,55.0,21.4,55.0,21.4,52.0,22.5,52.0,22.3,45.0,24.9,55.0,21.4,56.0,21.6,55.0,21.5,228.908,1258,2948.02,27.0,1,4.14,712.21,437,0.2,23.0,22.2,13.19,22.1,9.3,30.7,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.0,52.0,22.6,23.2,23.0,54.17,0
2024-10-17 20:00:38,51.0,22.7,58.0,21.0,1.37,5.509,1560.0,25124.17,0.9994,50.0,23.0,49.0,23.6,50.0,23.3,53.0,21.9,55.0,21.4,55.0,21.4,52.0,22.5,52.0,22.3,45.0,24.9,55.0,21.4,56.0,21.6,55.0,21.5,229.032,1260,3048.53,27.0,1,4.31,706.99,608,0.2,23.0,22.2,13.42,22.1,9.1,30.73,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.1,52.3,22.5,23.3,23.0,56.11,0
2024-10-17 20:01:39,51.0,22.7,58.0,20.9,1.37,5.508,1560.0,25124.19,0.9994,50.0,23.0,49.0,23.6,50.0,23.2,53.0,21.9,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.3,45.0,24.9,55.0,21.4,56.0,21.6,55.0,21.5,228.788,1259,3059.32,27.0,1,4.3,710.76,422,0.2,23.0,22.2,13.39,22.3,9.1,30.73,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.2,51.6,22.5,23.2,23.0,56.32,0
2024-10-17 20:02:41,51.0,22.7,58.0,20.9,1.37,5.505,1550.0,25124.21,0.9994,50.0,23.1,49.0,23.6,50.0,23.2,53.0,21.9,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.2,45.0,24.9,55.0,21.4,56.0,21.6,55.0,21.4,228.991,1259,3192.22,27.0,1,4.56,700.21,437,0.21,23.0,22.2,13.91,22.0,8.8,30.76,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.0,51.7,22.5,23.2,23.0,58.94,0
2024-10-17 20:03:35,51.0,22.7,58.0,20.9,1.37,5.515,1540.0,25124.23,0.9994,50.0,23.1,49.0,23.6,50.0,23.2,53.0,21.9,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.2,45.0,24.9,56.0,21.4,56.0,21.6,55.0,21.4,229.055,1262,3193.52,27.0,1,4.52,706.01,481,0.21,23.0,22.2,13.86,22.1,8.9,30.76,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.8,52.1,22.5,23.2,23.0,58.97,0
2024-10-17 20:04:36,51.0,22.7,58.0,20.9,1.37,5.507,1550.0,25124.25,0.9994,50.0,23.1,49.0,23.6,50.0,23.2,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.2,45.0,24.9,56.0,21.4,56.0,21.5,55.0,21.4,229.045,1260,3102.43,27.0,1,4.41,703.34,659,0.21,23.0,22.2,13.82,21.9,9.0,30.74,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.1,51.7,22.5,23.2,23.0,57.16,0
2024-10-17 20:05:38,51.0,22.7,58.0,20.9,1.37,5.515,1550.0,25124.28,0.9994,50.0,23.0,49.0,23.6,50.0,23.2,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.2,45.0,24.9,56.0,21.4,56.0,21.5,56.0,21.4,229.235,1263,3257.59,27.0,1,4.63,704.21,808,0.21,23.0,22.2,14.17,22.0,8.8,30.78,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.8,52.1,22.6,23.1,23.0,60.26,0
2024-10-17 20:06:39,51.0,22.7,59.0,20.9,1.37,5.518,1540.0,25124.3,0.9994,50.0,23.0,49.0,23.6,50.0,23.2,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.2,45.0,24.9,56.0,21.3,56.0,21.5,56.0,21.4,229.357,1264,3194.75,27.0,1,4.56,700.44,819,0.21,23.0,22.2,13.84,22.1,8.8,30.76,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.2,52.2,22.7,23.0,23.0,58.99,0
2024-10-17 20:07:41,51.0,22.7,58.0,20.9,1.37,5.517,1550.0,25124.32,0.9994,50.0,23.0,49.0,23.6,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.1,45.0,24.9,56.0,21.3,56.0,21.5,56.0,21.4,229.429,1264,3119.68,27.0,1,4.31,724.44,713,0.21,23.0,22.2,13.97,22.1,9.2,30.74,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.6,52.3,22.6,23.3,23.0,57.5,0
2024-10-17 20:08:36,51.0,22.7,58.0,20.9,1.37,5.512,1540.0,25124.34,0.9994,50.0,23.0,49.0,23.6,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.1,45.0,24.9,56.0,21.3,56.0,21.5,56.0,21.4,229.312,1263,3211.37,27.0,1,4.5,713.3,633,0.21,23.0,22.2,14.16,22.0,9.0,30.76,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.1,51.9,22.4,23.1,23.0,59.33,0
2024-10-17 20:09:37,51.0,22.6,58.0,20.9,1.37,5.514,1540.0,25124.36,0.9994,50.0,23.0,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,52.0,22.1,45.0,24.9,56.0,21.3,56.0,21.5,56.0,21.4,229.291,1263,3007.83,27.0,1,4.16,722.87,592,0.21,23.0,22.2,13.78,21.9,9.4,30.72,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.7,52.0,22.7,23.1,23.0,55.32,0
2024-10-17 20:10:39,51.0,22.6,58.0,21.0,1.37,5.517,1550.0,25124.38,0.9994,50.0,23.0,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,52.0,22.5,53.0,22.1,45.0,24.8,56.0,21.3,56.0,21.5,56.0,21.4,229.162,1265,2957.15,27.0,1,4.08,723.98,723,0.2,23.0,22.2,13.64,21.9,9.4,30.7,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,52.1,51.9,22.5,23.2,23.0,54.34,0
2024-10-17 20:11:39,51.0,22.6,58.0,21.0,1.37,5.51,1550.0,25124.4,0.9994,50.0,23.0,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,53.0,22.1,45.0,24.8,56.0,21.3,56.0,21.5,55.0,21.4,229.155,1261,2868.98,27.0,1,4.06,706.17,783,0.2,23.0,22.2,13.01,22.0,9.3,30.68,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.9,51.9,22.4,23.0,23.0,52.67,0
2024-10-17 20:12:39,51.0,22.6,58.0,21.0,1.37,5.513,1550.0,25124.42,0.9994,50.0,23.0,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,53.0,22.1,45.0,24.8,55.0,21.3,56.0,21.5,55.0,21.4,229.231,1262,2930.28,27.0,1,4.4,665.26,579,0.19,23.0,22.2,12.43,22.2,8.7,30.7,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.6,51.7,22.5,23.1,23.0,53.83,0
2024-10-17 20:13:41,51.0,22.6,58.0,20.9,1.37,5.519,1540.0,25124.44,0.9994,50.0,23.0,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,52.0,22.1,45.0,24.9,55.0,21.3,56.0,21.5,55.0,21.4,229.378,1265,2859.16,27.0,1,4.3,664.87,522,0.19,23.0,22.2,12.36,22.0,8.7,30.68,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.9,52.0,22.5,23.1,23.0,52.48,0
2024-10-17 20:14:42,51.0,22.6,58.0,20.9,1.37,5.519,1550.0,25124.47,0.9994,50.0,22.9,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,52.0,22.1,45.0,24.9,55.0,21.3,56.0,21.5,55.0,21.4,229.315,1264,2995.57,27.0,1,4.38,684.37,422,0.2,23.0,22.2,13.06,22.0,8.8,30.71,30.0,240.0,6848,0,1,0,1,1,0,1,1.2,52.1,51.7,22.3,23.0,23.0,55.08,0
2024-10-17 20:15:42,51.0,22.6,58.0,20.9,1.37,5.513,1550.0,25124.49,0.9994,50.0,22.9,49.0,23.5,50.0,23.1,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,52.0,22.1,45.0,24.9,55.0,21.3,56.0,21.5,55.0,21.4,229.34,1263,3069.11,27.0,1,4.45,689.57,425,0.2,23.0,22.2,13.19,22.2,8.8,30.73,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.8,51.9,22.5,23.3,23.0,56.51,0
2024-10-17 20:16:37,51.0,22.6,58.0,20.9,1.37,5.513,1540.0,25124.51,0.9994,50.0,22.9,49.0,23.5,50.0,23.0,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,52.0,22.1,45.0,24.9,55.0,21.3,56.0,21.5,55.0,21.4,229.255,1262,3030.67,27.0,1,4.42,686.08,386,0.2,23.0,22.2,13.07,22.2,8.8,30.72,30.0,240.0,7239,0,1,0,1,1,0,1,1.2,51.7,51.7,22.5,23.2,23.0,55.76,0
2024-10-17 20:17:40,51.0,22.6,58.0,20.9,1.37,5.513,1550.0,25124.53,0.9994,50.0,22.9,49.0,23.5,50.0,23.0,53.0,21.8,56.0,21.3,56.0,21.3,51.0,22.5,52.0,22.1,45.0,24.9,55.0,21.3,56.0,21.5,55.0,21.4,229.286,1263,3019.87,27.0,1,4.34,695.2,369,0.2,23.0,22.2,13.16,22.2,9.0,30.72,30.0,240.0,6848,0,1,0,1,1,0,1,1.2,51.7,51.9,22.7,23.1,23.0,55.55,0
