time,ACU_Return_RH,ACU_Return_Temp,ACU_Supply_RH,ACU_Supply_Temp,FCU_air_mass_flowrate,I,ITE_load,KWH,PF,R1_Back_Bottom_RH,R1_Back_Bottom_Temp,R1_Back_Middle_RH,R1_Back_Middle_Temp,R1_Back_Top_RH,R1_Back_Top_Temp,R1_Front_Bottom_RH,R1_Front_Bottom_Temp,R1_Front_Middle_RH,R1_Front_Middle_Temp,R1_Front_Top_RH,R1_Front_Top_Temp,R2_Back_Bottom_RH,R2_Back_Bottom_Temp,R2_Back_Middle_RH,R2_Back_Middle_Temp,R2_Back_Top_RH,R2_Back_Top_Temp,R2_Front_Bottom_RH,R2_Front_Bottom_Temp,R2_Front_Middle_RH,R2_Front_Middle_Temp,R2_Front_Top_RH,R2_Front_Top_Temp,U,W,actual_chiller_load,ambient_wet_temp,bms_local,chiller_cop,chiller_power,chw_flow_rate,chw_flow_rate_calculated,chw_valve_cmd,chw_valve_position,chwp_power,chwr_temperature,chws_temperature,condenser_leave_temp,cw_supply_temp,cwp_power,fcu_airflow_rate,fcu_high_speed,fcu_low_speed,fcu_med_speed,fcu_ss_cmd,fcu_status,fcu_trip,id,off_coil_temperature,room_humidity_1,room_humidity_2,room_temperature_1,room_temperature_2,room_temperature_setpoint,tower_fan_power,water_leakage_status
18/10/24 13:41,54,22.6,63,20.6,1.37,5.494,1540,25147.78,0.9994,53,22.9,52,23.5,52,23.1,56,21.7,60,21,60,21,54,22.4,55,22,48,24.8,60,21.1,61,21.1,60,21,228.803,1256,3633.86,27,1,4.86,747.72,668,0.24,30,29.6,16.31,21.7,8.9,30.87,30,240,7124,0,1,0,1,1,0,1,3.3,55,54.7,22.4,23.2,23,68.13,0
18/10/24 13:41,54,22.6,63,20.6,1.37,5.489,1540,25147.8,0.9993,53,22.9,52,23.5,53,23,56,21.7,60,21,60,21,54,22.4,55,22,48,24.8,60,21.1,61,21.1,60,21,228.775,1254,3579.9,27,1,4.81,744.37,630,0.24,30,29.6,16.17,21.6,8.9,30.85,30,240,7124,0,1,0,1,1,0,1,3.3,55.1,54.3,22.3,23.1,23,66.97,0
18/10/24 13:42,54,22.4,63,20.6,1.37,5.483,1550,25147.81,0.9993,53,22.9,52,23.5,53,23,56,21.7,60,20.9,60,20.9,54,22.4,55,22,48,24.8,60,21.1,61,21.1,60,21,228.835,1253,3387.66,27,1,4.59,738.7,596,0.23,30,29.6,15.41,21.7,9.1,30.81,30,240,7124,0,1,0,1,1,0,1,3.3,55.3,54.1,22.5,23,23,62.92,0
18/10/24 13:42,54,22.4,63,20.6,1.37,5.487,1540,25147.82,0.9994,53,22.9,52,23.5,53,23,56,21.7,60,20.9,60,20.9,54,22.4,55,22,48,24.8,60,21.1,61,21.1,60,21,228.848,1257,3168.07,27,1,4.27,741.6,576,0.22,30,29.6,14.95,21.6,9.4,30.75,30,240,7124,0,1,0,1,1,0,1,3.3,55.1,54.4,22.4,23.2,23,58.46,0
18/10/24 13:43,54,22.4,63,20.6,1.37,5.497,1540,25147.83,0.9994,53,22.8,52,23.4,53,23,56,21.7,60,20.9,60,20.9,54,22.4,56,21.9,48,24.7,60,21.1,61,21.1,60,21,228.913,1257,3112.4,27,1,4.22,738.05,486,0.22,30,29.6,14.94,21.4,9.5,30.74,30,240,7124,0,1,0,1,1,0,1,3.3,55.3,54.5,22.4,23.1,23,57.36,0
18/10/24 13:43,54,22.4,63,20.6,1.37,5.491,1540,25147.84,0.9993,53,22.8,52,23.4,53,23,56,21.7,60,20.9,60,20.9,54,22.4,56,21.9,48,24.7,60,21,61,21.1,61,20.9,228.781,1255,3137.1,27,1,4.23,742.21,480,0.23,30,29.6,15.24,21.3,9.5,30.75,30,240,7124,0,1,0,1,1,0,1,3.3,55.5,54.4,22.3,23.2,23,57.85,0
18/10/24 13:44,54,22.4,63,20.5,1.37,5.489,1540,25147.85,0.9994,53,22.8,52,23.4,53,23,56,21.7,61,20.9,61,20.9,54,22.4,56,21.9,48,24.7,60,21,61,21,61,20.9,228.674,1253,3296.27,27,1,4.41,747.75,499,0.23,30,29.5,15.49,21.6,9.3,30.78,30,240,7124,0,1,0,1,1,0,1,3.3,55.3,54.7,22.2,23,23,61.05,0
18/10/24 13:44,54,22.4,63,20.5,1.37,5.491,1540,25147.86,0.9994,53,22.8,52,23.4,54,22.9,56,21.7,61,20.8,61,20.8,54,22.4,56,21.9,48,24.7,60,21,61,21,61,20.9,228.752,1255,3381.74,27,1,4.57,740.18,548,0.24,30,29.5,15.72,21.5,9.1,30.81,30,240,7124,0,1,0,1,1,0,1,3.3,55.5,54.7,22.3,23,23,62.8,0
18/10/24 13:45,55,22.4,63,20.5,1.37,5.493,1570,25147.87,0.9994,53,22.8,52,23.4,54,22.9,57,21.6,61,20.8,61,20.8,54,22.4,56,21.9,48,24.7,60,21,61,21,61,20.9,228.764,1255,3366.83,27,1,4.54,741.49,524,0.24,30,29.4,15.79,21.4,9.2,30.8,30,240,7124,0,1,0,1,1,0,1,3.3,55.5,54.3,22.4,23,23,62.49,0
18/10/24 13:45,55,22.4,63,20.5,1.37,5.498,1580,25147.88,0.9994,53,22.8,52,23.4,54,22.9,57,21.6,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,60,21,61,21,61,20.9,228.866,1257,3416.43,27,1,4.64,735.98,557,0.23,30,29.6,15.62,21.6,9,30.81,30,240,7124,0,1,0,1,1,0,1,3.3,55.4,54.8,22.3,22.9,23,63.52,0
18/10/24 13:46,55,22.4,63,20.5,1.37,5.497,1550,25147.89,0.9994,54,22.8,52,23.3,54,22.9,57,21.6,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,61,20.9,61,21,61,20.9,228.943,1257,3346.24,27,1,4.52,740.25,616,0.23,30,29.4,15.57,21.5,9.2,30.8,30,240,7124,0,1,0,1,1,0,1,3.3,55.3,54.8,22.3,23,23,62.07,0
18/10/24 13:46,55,22.4,63,20.5,1.37,5.49,1560,25147.9,0.9993,54,22.8,52,23.3,54,22.9,57,21.6,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,61,20.9,61,20.9,61,20.9,228.955,1256,3312.12,27,1,4.49,737.09,608,0.23,30,29.6,15.65,21.3,9.2,30.79,30,240,7124,0,1,0,1,1,0,1,3.3,55.8,54.9,22.2,23,23,61.37,0
18/10/24 13:47,55,22.3,63,20.4,1.37,5.497,1550,25147.91,0.9994,54,22.8,52,23.3,54,22.9,57,21.6,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,61,20.9,61,20.9,61,20.8,228.857,1257,3234.16,27,1,4.4,735.39,494,0.24,30,29.6,15.94,20.9,9.2,30.77,30,240,7124,0,1,0,1,1,0,1,3.3,55.6,55,22.1,22.9,23,59.79,0
18/10/24 13:47,55,22.3,63,20.4,1.37,5.498,1540,25147.92,0.9994,54,22.8,52,23.3,54,22.8,57,21.6,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,61,20.9,61,20.9,61,20.8,228.821,1257,3303.28,27,1,4.52,731.5,524,0.24,30,29.6,16.31,20.8,9.1,30.79,30,240,7124,0,1,0,1,1,0,1,3.3,55.4,54.6,22.1,23,23,61.19,0
18/10/24 13:48,55,22.3,63,20.4,1.37,5.494,1540,25147.93,0.9993,54,22.8,52,23.3,54,22.8,57,21.5,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,61,20.9,61,20.9,61,20.8,229.005,1257,3484.85,27,1,4.74,735.74,465,0.25,30,29.5,16.36,21.2,8.9,30.83,30,240,7124,0,1,0,1,1,0,1,3.3,55.8,54.4,22.1,23,23,64.96,0
18/10/24 13:48,55,22.3,63,20.4,1.37,5.494,1550,25147.94,0.9993,54,22.8,52,23.3,54,22.8,57,21.5,61,20.8,61,20.8,55,22.3,56,21.8,48,24.7,61,20.9,61,20.9,61,20.8,228.848,1256,3446.64,27,1,4.77,723.09,439,0.24,30,29.6,16.05,21.1,8.8,30.82,30,240,7124,0,1,0,1,1,0,1,3.3,55.7,55.1,22.2,23,23,64.15,0
18/10/24 13:49,55,22.3,63,20.4,1.37,5.497,1540,25147.95,0.9993,54,22.7,53,23.3,54,22.8,57,21.5,61,20.8,61,20.8,55,22.3,57,21.8,48,24.3,61,20.8,61,20.9,61,20.8,228.758,1256,3424.84,27,1,4.73,724.42,499,0.23,30,29.6,15.64,21.4,8.8,30.82,30,240,7538,0,1,0,1,1,0,1,3.3,55.9,54.7,22.2,23,23,63.7,0
18/10/24 13:49,55,22.3,63,20.4,1.37,5.485,1540,25147.96,0.9993,54,22.7,53,23.3,54,22.8,57,21.5,61,20.8,61,20.8,55,22.3,57,21.8,48,24.3,61,20.8,62,20.9,61,20.8,228.886,1254,3254.97,27,1,4.41,737.28,626,0.24,30,29.4,15.74,21.1,9.3,30.77,30,240,7163,0,1,0,1,1,0,1,3.3,55.7,55,22.2,23,23,60.21,0
18/10/24 13:50,55,22.2,64,20.4,1.37,5.497,1560,25147.97,0.9994,54,22.7,53,23.3,54,22.8,57,21.5,61,20.8,61,20.8,55,22.3,57,21.8,48,24.3,61,20.8,62,20.9,61,20.8,228.823,1256,3250.38,27,1,4.43,734.15,597,0.23,30,29.5,15.54,21.2,9.2,30.77,30,240,7163,0,1,0,1,1,0,1,3.3,56,54.9,22.1,22.8,23,60.11,0
18/10/24 13:50,55,22.2,64,20.4,1.37,5.494,1540,25147.98,0.9994,54,22.7,53,23.3,54,22.8,57,21.5,61,20.7,61,20.7,55,22.3,57,21.8,48,24.3,61,20.8,62,20.9,61,20.8,228.878,1256,3187.86,27,1,4.28,744.68,669,0.23,30,29.5,15.52,21.3,9.5,30.76,30,240,7163,0,1,0,1,1,0,1,3.3,55.6,55,22.2,22.8,23,58.86,0
18/10/24 14:02,58,21.6,69,19.1,1.37,5.503,1540,25148.22,0.9994,55,22.2,54,22.8,55,22.4,59,20.9,65,19.7,65,19.7,56,21.8,59,21.1,50,23.7,64,19.8,66,19.8,66,19.6,228.722,1257,4455.61,27,1,5.33,836.54,646,0.36,35,34.5,24.08,19.5,8.9,31.06,30,240,6767,0,1,0,1,1,0,1,3.3,58.1,56.7,21.4,22.4,23,87.17,0
18/10/24 14:02,58,21.6,69,19,1.37,5.502,1550,25148.23,0.9994,55,22.2,54,22.8,55,22.4,59,20.9,65,19.7,65,19.7,56,21.8,59,21.1,50,23.7,64,19.8,66,19.8,66,19.6,228.636,1257,4502.47,27,1,5.35,841.86,690,0.37,35,34.5,24.56,19.4,8.9,31.07,30,240,6767,0,1,0,1,1,0,1,3.3,58.4,56.6,21.3,22.4,23,88.33,0
18/10/24 14:03,58,21.5,69,19,1.37,5.503,1540,25148.24,0.9994,56,22.1,55,22.6,55,22.4,60,20.8,65,19.7,65,19.7,57,21.7,60,20.9,50,23.7,64,19.8,66,19.8,66,19.6,228.699,1257,4413.39,27,1,5.18,852.35,670,0.38,35,34.5,25.13,19.3,9.2,31.05,30,240,7163,0,1,0,1,1,0,1,3.3,58.3,56.6,21.4,22.4,23,86.13,0
18/10/24 14:03,58,21.5,69,19,1.37,5.504,1540,25148.25,0.9994,56,22.1,55,22.6,56,22.2,60,20.8,65,19.7,65,19.7,57,21.7,60,20.9,50,23.7,64,19.8,66,19.8,66,19.6,228.628,1256,4369.34,27,1,5.1,856.9,607,0.38,35,34.5,25.56,19.2,9.4,31.04,30,240,7163,0,1,0,1,1,0,1,3.3,58.3,56.5,21.4,22.3,23,85.05,0
18/10/24 14:03,58,21.5,69,19,1.37,5.512,1550,25148.26,0.9994,56,22.1,55,22.6,56,22.2,60,20.8,65,19.7,65,19.7,57,21.7,60,20.9,50,23.6,65,19.7,66,19.8,66,19.6,228.719,1259,4509.99,27,1,5.27,855.46,616,0.39,35,34.5,25.73,19.2,9.1,31.07,30,240,6767,0,1,0,1,1,0,1,3.3,58.6,56.8,21.4,22.3,23,88.52,0
18/10/24 14:04,58,21.5,69,19,1.37,5.504,1540,25148.27,0.9994,56,22.1,55,22.6,56,22.2,60,20.8,66,19.4,66,19.4,57,21.7,60,20.9,50,23.6,65,19.7,66,19.6,66,19.6,228.628,1257,4477.6,27,1,5.25,853.59,606,0.38,35,34.5,25.44,19.3,9.1,31.07,30,240,7163,0,1,0,1,1,0,1,3.3,58.6,56.9,21.4,22.3,23,87.72,0
18/10/24 14:05,58,21.5,69,19,1.37,5.497,1550,25148.28,0.9993,56,22,55,22.6,56,22.2,60,20.8,66,19.4,66,19.4,57,21.7,60,20.9,50,23.6,65,19.7,66,19.6,66,19.4,228.757,1256,4373.42,27,1,5.1,857.91,531,0.38,35,34.5,25.3,19.4,9.4,31.04,30,240,7163,0,1,0,1,1,0,1,3.3,59,56.5,21.1,22.2,23,85.15,0
18/10/24 14:05,59,21.4,69,19,1.37,5.502,1550,25148.29,0.9994,56,22,55,22.6,56,22.2,60,20.8,66,19.4,66,19.4,57,21.6,60,20.9,50,23.6,65,19.7,66,19.6,66,19.4,228.625,1256,4331.06,27,1,5.11,848.14,449,0.38,35,34.5,25.06,19.3,9.3,31.03,30,240,7163,0,1,0,1,1,0,1,3.3,58.8,56.6,21.2,22.4,23,84.12,0
18/10/24 14:06,59,21.4,69,19,1.37,5.507,1560,25148.3,0.9994,56,22,55,22.4,56,22.2,60,20.6,66,19.4,66,19.4,57,21.6,60,20.9,50,23.6,65,19.7,67,19.6,66,19.4,228.619,1258,4398.45,27,1,5.22,843.1,404,0.37,35,34.5,24.58,19.4,9.1,31.05,30,240,6767,0,1,0,1,1,0,1,3.3,58.8,56.9,21.2,22.2,23,85.76,0
18/10/24 14:06,59,21.4,69,19,1.37,5.505,1560,25148.31,0.9994,56,22,55,22.4,56,22,61,20.6,66,19.4,66,19.4,57,21.6,60,20.7,50,23.6,66,19.5,67,19.6,66,19.3,228.584,1257,4220.24,27,1,5.1,827.99,493,0.36,35,34.5,24.17,19.2,9.2,31,30,240,6767,0,1,0,1,1,0,1,3.3,59.1,57.2,21.1,22.2,23,81.46,0
18/10/24 14:06,59,21.4,69,19,1.37,5.501,1550,25148.32,0.9994,56,22,55,22.4,56,22,61,20.6,66,19.4,66,19.4,57,21.6,60,20.7,51,23.4,66,19.5,67,19.6,66,19.3,228.506,1256,4338.11,27,1,5.29,819.76,522,0.36,35,34.5,24.01,19.2,8.8,31.03,30,240,6767,0,1,0,1,1,0,1,3.3,59.4,57,21,22.2,23,84.29,0
18/10/24 14:07,59,21.4,69,19,1.37,5.503,1550,25148.33,0.9994,56,22,55,22.4,57,22,61,20.6,66,19.4,66,19.4,57,21.6,60,20.7,51,23.4,66,19.5,67,19.6,66,19.3,228.539,1256,4269.12,27,1,5.22,818.15,481,0.36,35,34.5,23.9,19.2,8.9,31.02,30,240,7163,0,1,0,1,1,0,1,3.3,59,57.2,21.1,22.2,23,82.62,0
18/10/24 14:08,59,21.4,70,18.8,1.37,5.515,1540,25148.34,0.9995,57,21.8,55,22.4,57,22,61,20.6,66,19.4,66,19.4,57,21.6,60,20.7,51,23.4,66,19.5,67,19.6,66,19.3,228.652,1260,4354.78,27,1,5.19,838.32,557,0.37,35,34.5,24.74,19.2,9.1,31.04,30,240,6767,0,1,0,1,1,0,1,3.3,59,57.3,21.1,22.1,23,84.7,0
18/10/24 14:08,59,21.3,70,18.8,1.37,5.514,1540,25148.35,0.9995,57,21.8,55,22.4,57,22,61,20.6,67,19.3,67,19.3,57,21.5,61,20.6,51,23.3,66,19.5,67,19.6,66,19.3,228.604,1259,4319.62,27,1,5.09,848.68,613,0.38,35,34.5,25.63,19,9.3,31.03,30,240,7163,0,1,0,1,1,0,1,3.3,59.5,57,21,22.1,23,83.84,0
18/10/24 14:09,59,21.3,70,18.8,1.37,5.51,1540,25148.36,0.9994,57,21.8,56,22.3,57,22,61,20.6,67,19.3,67,19.3,57,21.5,61,20.6,51,23.3,66,19.5,68,19.4,66,19.3,228.536,1258,4415.32,27,1,5.17,854.3,576,0.39,35,34.5,26.09,19,9.3,31.05,30,240,7163,0,1,0,1,1,0,1,3.3,59.4,57.6,21,22.2,23,86.18,0
